__time,/joint_states/header/stamp,/joint_states/left_ankle_pitch/effort,/joint_states/left_ankle_pitch/position,/joint_states/left_ankle_pitch/velocity,/joint_states/left_ankle_roll/effort,/joint_states/left_ankle_roll/position,/joint_states/left_ankle_roll/velocity,/joint_states/left_hip_pitch/effort,/joint_states/left_hip_pitch/position,/joint_states/left_hip_pitch/velocity,/joint_states/left_hip_roll/effort,/joint_states/left_hip_roll/position,/joint_states/left_hip_roll/velocity,/joint_states/left_hip_yaw/effort,/joint_states/left_hip_yaw/position,/joint_states/left_hip_yaw/velocity,/joint_states/left_knee/effort,/joint_states/left_knee/position,/joint_states/left_knee/velocity,/joint_states/right_ankle_pitch/effort,/joint_states/right_ankle_pitch/position,/joint_states/right_ankle_pitch/velocity,/joint_states/right_ankle_roll/effort,/joint_states/right_ankle_roll/position,/joint_states/right_ankle_roll/velocity,/joint_states/right_hip_pitch/effort,/joint_states/right_hip_pitch/position,/joint_states/right_hip_pitch/velocity,/joint_states/right_hip_roll/effort,/joint_states/right_hip_roll/position,/joint_states/right_hip_roll/velocity,/joint_states/right_hip_yaw/effort,/joint_states/right_hip_yaw/position,/joint_states/right_hip_yaw/velocity,/joint_states/right_knee/effort,/joint_states/right_knee/position,/joint_states/right_knee/velocity
1769674215.924575,1769674215.924422503,0.303157439,-0.001981704,-0.023517845,-0.023291549,0.001278255,0.071374148,0.016285883,-0.000213051,-0.041141100,-0.171032026,0.001193084,0.057243180,0.252346367,-0.002454369,-0.009801462,-0.041766759,0.000255661,0.016700692,0.006920033,-0.000119651,-0.019213625,-0.021343544,0.000095874,0.042928129,0.010924185,-0.000042610,-0.021046685,0.042890105,-0.000085220,-0.024021665,0.034082625,-0.000153398,0.021136364,0.016133454,-0.000085220,-0.019117679
1769674215.934641,1769674215.934446812,0.338675412,-0.001913418,0.004827415,-0.044838718,0.001214344,0.033867012,0.016369268,-0.000042610,0.039004952,-0.155243725,0.001150474,0.045993067,0.242321193,-0.002454369,-0.018869029,-0.041822020,0.000213051,0.011070844,0.003782246,-0.000034187,0.015459682,0.007150535,0.000000000,0.008332703,0.007710744,0.000042610,0.020726297,-0.027486999,-0.000042610,-0.011718288,0.021332422,-0.000230097,-0.018412288,0.003848509,0.000000000,0.012778723
1769674215.944664,1769674215.944446564,0.241350921,-0.001913480,0.006952560,-0.032783251,0.001086516,-0.020417365,0.058703747,-0.000170441,-0.009289091,-0.168611497,0.001107864,0.023420546,0.261913568,-0.002416020,0.017340930,-0.013782234,0.000170441,-0.025657957,-0.042175939,-0.000051280,0.006259549,-0.014875382,0.000031958,0.033557557,-0.053547878,0.000000000,0.005703708,0.017298866,0.000127830,0.079571128,0.019866243,-0.000153398,0.011421624,0.020488584,0.000042610,0.037347138
1769674215.954789,1769674215.954468250,0.298950395,-0.001896354,0.023733591,-0.066212694,0.001182388,0.028048675,0.013826381,-0.000127830,0.009400700,-0.129781157,0.001107864,0.024175443,0.244085908,-0.002339321,0.043290570,-0.027327083,0.000170441,-0.021370202,-0.023272363,-0.000136745,-0.034832351,0.011276475,-0.000063915,-0.016132508,0.018129449,-0.000042610,-0.004121279,-0.009105032,0.000000000,0.004739111,0.023227194,-0.000153398,0.010286037,0.004354401,-0.000085220,-0.028293446
1769674215.964919,1769674215.964524031,0.287796132,-0.001930574,0.006682180,-0.034505956,0.001054558,-0.035488970,0.008722733,-0.000127830,0.001366457,-0.186318308,0.001022644,-0.016971830,0.228967249,-0.002454369,-0.019723019,-0.028643010,0.000127830,-0.035258677,0.023554960,-0.000051279,0.012336350,-0.008872805,-0.000095873,-0.048619007,0.031352121,0.000085220,0.055619214,-0.020276520,0.000000000,0.007077394,0.037238035,-0.000191748,0.006685335,-0.000289342,0.000000000,0.004657256
1769674215.974632,1769674215.974425316,0.314789513,-0.001947578,-0.016790829,-0.078007149,0.001214342,0.014586740,0.010208553,-0.000170441,-0.029758941,-0.202844277,0.001065254,0.007911597,0.230193093,-0.002416020,0.014649895,0.038493004,0.000213051,0.011010436,-0.007954891,-0.000085465,-0.003721244,0.005434223,0.000095874,0.052759257,0.006632472,0.000042610,0.019095551,-0.008707367,-0.000213051,-0.084306359,0.020402597,-0.000153398,0.014651710,-0.007377524,0.000000000,0.012241716
1769674215.985044,1769674215.984450579,0.254693464,-0.001981798,-0.016954096,-0.038516429,0.001086513,-0.015942963,-0.003045338,-0.000085220,0.013159043,-0.149254456,0.000980034,-0.032672279,0.238059461,-0.002454369,-0.006996174,-0.003641689,0.000255661,0.023537809,0.002749923,-0.000068370,0.003961254,-0.017867251,-0.000127831,-0.049839460,0.028419683,-0.000085220,-0.032035183,0.001993231,0.000042610,0.035849679,0.020663766,-0.000191748,-0.002763189,-0.069740094,0.000042610,0.028060753
1769674215.994719,1769674215.994513035,0.183330518,-0.001998832,-0.026125356,-0.069542829,0.001182383,0.009325007,-0.007088954,-0.000255661,-0.054302987,-0.152398154,0.000980034,-0.030392393,0.245195881,-0.002377670,0.029974658,-0.047443189,0.000255661,0.021370674,0.018582544,-0.000068373,0.004014709,-0.004055184,-0.000063916,-0.017139868,0.016386352,-0.000085220,-0.031889051,-0.008385613,-0.000042610,0.007975628,0.033893954,-0.000153398,0.013651492,-0.026528064,0.000000000,0.011724561
1769674216.004697,1769674216.004441977,0.292934835,-0.001947609,-0.008487007,-0.050988873,0.001150428,0.010871823,0.008303327,-0.000127830,0.005222783,-0.152994320,0.001107864,0.025310015,0.211052939,-0.002454369,-0.011620165,-0.024287354,0.000170441,-0.025838841,0.028244682,-0.000068370,-0.003660496,0.021521287,-0.000127831,-0.047841908,0.000935236,0.000000000,0.002188172,-0.026788771,-0.000085220,-0.025569098,0.020754861,-0.000230097,-0.014720087,0.053233486,0.000042610,0.029023735
1769674216.014634,1769674216.014433861,0.247992977,-0.001913450,0.011931536,-0.024420604,0.001150430,-0.002422257,0.011065741,-0.000213051,-0.036324661,-0.175946951,0.001065254,0.009849056,0.235749856,-0.002416020,0.013458803,-0.042140413,0.000255661,0.012020644,0.018031234,-0.000034187,0.020240449,-0.015491426,0.000000000,0.015541893,0.001817472,0.000042610,0.015406585,0.013275487,-0.000042610,-0.000360927,0.000719593,-0.000268447,-0.039691038,-0.015480971,-0.000042610,-0.015515265
