__time,/joint_states/header/stamp,/joint_states/left_ankle_pitch/effort,/joint_states/left_ankle_pitch/position,/joint_states/left_ankle_pitch/velocity,/joint_states/left_ankle_roll/effort,/joint_states/left_ankle_roll/position,/joint_states/left_ankle_roll/velocity,/joint_states/left_hip_pitch/effort,/joint_states/left_hip_pitch/position,/joint_states/left_hip_pitch/velocity,/joint_states/left_hip_roll/effort,/joint_states/left_hip_roll/position,/joint_states/left_hip_roll/velocity,/joint_states/left_hip_yaw/effort,/joint_states/left_hip_yaw/position,/joint_states/left_hip_yaw/velocity,/joint_states/left_knee/effort,/joint_states/left_knee/position,/joint_states/left_knee/velocity,/joint_states/right_ankle_pitch/effort,/joint_states/right_ankle_pitch/position,/joint_states/right_ankle_pitch/velocity,/joint_states/right_ankle_roll/effort,/joint_states/right_ankle_roll/position,/joint_states/right_ankle_roll/velocity,/joint_states/right_hip_pitch/effort,/joint_states/right_hip_pitch/position,/joint_states/right_hip_pitch/velocity,/joint_states/right_hip_roll/effort,/joint_states/right_hip_roll/position,/joint_states/right_hip_roll/velocity,/joint_states/right_hip_yaw/effort,/joint_states/right_hip_yaw/position,/joint_states/right_hip_yaw/velocity,/joint_states/right_knee/effort,/joint_states/right_knee/position,/joint_states/right_knee/velocity
1769071278.822095,1769071278.821633101,-0.034795755,-0.000068366,-0.016549984,-0.014296453,-0.000191747,-0.024694738,0.058020569,-0.000383491,-0.076267242,-0.007179695,0.000042610,-0.013116589,0.208361372,-0.001955826,0.033992358,-0.425013959,0.003110541,0.025741767,-0.068491550,0.000376195,-0.006201167,-0.030701551,0.000703077,-0.012688254,0.028960465,-0.000170441,-0.026153347,0.017589401,-0.000170441,-0.021586964,0.011617053,0.000000000,-0.006300386,0.025082549,0.000085220,0.033977620
1769071278.832497,1769071278.831786633,0.013952821,-0.000034184,0.007216977,-0.010072935,-0.000127831,0.001380790,0.005570727,-0.000213051,-0.002375884,-0.046891965,0.000042610,-0.021393828,0.181131899,-0.001994175,0.021733256,-0.476705402,0.003110541,0.012608930,-0.051435709,0.000324897,-0.025990924,-0.022847095,0.000671119,-0.017751253,0.001941769,-0.000127830,-0.023440193,0.026449265,-0.000127830,-0.012372274,0.015905790,-0.000076699,-0.032339606,-0.006993883,-0.000042610,-0.027658403
1769071278.842499,1769071278.841822863,-0.005451813,-0.000068366,-0.015633745,0.007930816,-0.000191747,-0.013102830,0.029336298,-0.000213051,0.005018057,0.003499387,0.000085220,0.007957171,0.189536318,-0.002147573,-0.054386150,-0.461326808,0.003110541,0.021800339,-0.040564827,0.000410429,0.016291898,-0.024914228,0.000830910,0.057548244,0.055298168,0.000042610,0.068508349,0.006780741,-0.000127830,-0.015609173,-0.011488684,0.000038350,0.016548589,0.018580779,-0.000042610,-0.033148840
1769071278.852626,1769071278.851788044,0.018026448,-0.000034179,-0.006563238,-0.020850630,-0.000191747,-0.043144104,0.061590727,-0.000213051,0.005356160,-0.013828287,0.000042610,-0.018597346,0.207364202,-0.001994175,0.016372513,-0.487110645,0.002982711,-0.049655065,-0.024420875,0.000359089,-0.007699969,-0.063383937,0.000671119,-0.010167224,0.029392445,-0.000127830,-0.018235300,0.033495300,-0.000170441,-0.024467064,-0.000340580,0.000038350,0.022110520,0.004788272,0.000127830,0.049692281
1769071278.862503,1769071278.861768723,-0.011902098,-0.000085462,-0.018239491,0.018714577,-0.000159789,-0.001390682,0.003775810,-0.000255661,-0.017250491,-0.008197719,0.000085220,0.012773212,0.178056538,-0.002070874,-0.027756670,-0.454722434,0.003153151,0.033033758,-0.054149942,0.000359089,-0.008872201,-0.016151584,0.000671119,-0.012852426,0.016838562,-0.000127830,-0.020302307,0.041064378,-0.000042610,0.033319715,0.015146802,-0.000115049,-0.055005688,-0.011202603,-0.000127830,-0.080858350
1769071278.872292,1769071278.871714592,0.041736905,-0.000034179,-0.000345284,0.008288342,-0.000191747,-0.028129416,0.124204546,-0.000255661,-0.002884325,-0.006902753,0.000000000,-0.016485209,0.159354478,-0.002070874,-0.024114585,-0.428440005,0.003110541,0.027671464,-0.056043986,0.000393265,0.007202426,-0.035431276,0.000607203,-0.048540855,-0.016959257,-0.000127830,-0.032186318,-0.003940268,-0.000213051,-0.039623708,-0.014167048,0.000038350,0.027418075,0.022746326,0.000000000,-0.008933216
1769071278.882481,1769071278.881769419,0.041742070,-0.000034186,0.008487544,0.020778919,-0.000063916,0.037246160,0.019919734,-0.000127830,0.031143960,0.012503326,0.000042610,-0.020639520,0.162575230,-0.002032525,-0.009306840,-0.425561458,0.003025321,-0.009956973,-0.088504190,0.000359128,-0.013479188,-0.030239239,0.000798952,0.051857674,0.020075727,-0.000085220,0.000508110,0.004427474,-0.000085220,0.014893633,0.009449617,0.000038350,0.024687806,0.017386695,0.000085220,0.024716584
1769071278.892518,1769071278.891760111,0.032088745,-0.000136745,-0.046477104,-0.014779109,-0.000063916,0.038888696,0.022455867,-0.000298271,-0.035652664,0.022965990,0.000085220,0.005939403,0.216407746,-0.002032525,0.007110958,-0.467749685,0.003067931,-0.000317651,-0.060098140,0.000376195,-0.002354003,-0.035563168,0.000703077,-0.009945555,0.034714732,-0.000127830,-0.015233800,0.041125648,-0.000042610,0.035767879,-0.018398579,0.000076699,0.036184229,-0.011484605,0.000000000,-0.011677269
1769071278.902134,1769071278.901693344,0.021985842,-0.000017092,0.009125488,0.021514362,-0.000095874,0.023101107,0.054326590,-0.000170441,0.031993836,-0.046212338,0.000042610,-0.016443899,0.249502316,-0.002070874,-0.015691498,-0.467390627,0.003025321,-0.014091220,-0.094560756,0.000359072,-0.013412909,-0.062057129,0.000607203,-0.058190119,0.006191217,-0.000213051,-0.061182678,0.020854130,-0.000085220,0.012444647,-0.015281739,0.000000000,-0.005545781,-0.041380476,-0.000085220,-0.044429518
1769071278.912116,1769071278.911660433,-0.001546715,-0.000051279,-0.011866793,-0.006890455,-0.000095874,0.012203144,0.058062039,-0.000298271,-0.034494303,-0.024381973,0.000170441,0.051121760,0.179412812,-0.002109224,-0.045803037,-0.448497832,0.002982711,-0.039734107,-0.065652892,0.000393282,0.000416939,-0.029768162,0.000671119,-0.026568244,-0.047754504,-0.000127830,-0.025297342,-0.018199103,-0.000170441,-0.036066074,0.005185185,0.000038350,0.021166796,-0.002187540,-0.000085220,-0.047533605
