__time,/joint_states/header/stamp,/joint_states/left_ankle_pitch/effort,/joint_states/left_ankle_pitch/position,/joint_states/left_ankle_pitch/velocity,/joint_states/left_ankle_roll/effort,/joint_states/left_ankle_roll/position,/joint_states/left_ankle_roll/velocity,/joint_states/left_hip_pitch/effort,/joint_states/left_hip_pitch/position,/joint_states/left_hip_pitch/velocity,/joint_states/left_hip_roll/effort,/joint_states/left_hip_roll/position,/joint_states/left_hip_roll/velocity,/joint_states/left_hip_yaw/effort,/joint_states/left_hip_yaw/position,/joint_states/left_hip_yaw/velocity,/joint_states/left_knee/effort,/joint_states/left_knee/position,/joint_states/left_knee/velocity,/joint_states/right_ankle_pitch/effort,/joint_states/right_ankle_pitch/position,/joint_states/right_ankle_pitch/velocity,/joint_states/right_ankle_roll/effort,/joint_states/right_ankle_roll/position,/joint_states/right_ankle_roll/velocity,/joint_states/right_hip_pitch/effort,/joint_states/right_hip_pitch/position,/joint_states/right_hip_pitch/velocity,/joint_states/right_hip_roll/effort,/joint_states/right_hip_roll/position,/joint_states/right_hip_roll/velocity,/joint_states/right_hip_yaw/effort,/joint_states/right_hip_yaw/position,/joint_states/right_hip_yaw/velocity,/joint_states/right_knee/effort,/joint_states/right_knee/position,/joint_states/right_knee/velocity
1768899957.880268,1768899957.879632473,0.175601913,-0.001162075,0.012818792,0.001838928,0.000255649,0.034972755,-0.405151755,0.002599219,0.009921310,-0.633514166,0.004133185,-0.003335563,0.182258263,-0.002032525,-0.051242579,-0.426147103,0.002897491,0.017827898,-0.137133186,0.001197966,0.010671149,0.104286206,-0.002300897,-0.019971700,-0.104543358,0.000340881,-0.001802992,-0.052309580,0.000340881,-0.020742135,-0.013805473,0.000191748,0.016028279,-0.027992448,-0.000042610,-0.048531029
1768899957.890285,1768899957.889648676,0.160676609,-0.001230422,-0.018101903,-0.015398789,0.000191733,0.005971156,-0.385509759,0.002556609,-0.005561216,-0.623742521,0.004047965,-0.070837528,0.188696116,-0.001917476,0.005501249,-0.422521472,0.002940101,0.040303417,-0.141572554,0.001163825,-0.004894127,0.089172749,-0.002364810,-0.051576383,-0.034285218,0.000298271,-0.005687566,-0.078893684,0.000340881,-0.016885055,-0.015114319,0.000115049,-0.032246079,0.013805782,0.000042610,-0.004039838
1768899957.900819,1768899957.899676323,0.209246880,-0.001213327,-0.009185157,0.003146251,0.000287606,0.054217609,-0.356625736,0.002556609,0.026268044,-0.589523673,0.004218405,0.024177780,0.163950250,-0.001840777,0.031570580,-0.418202102,0.002854880,-0.000593391,-0.103911805,0.001198029,0.016818162,0.054325840,-0.002364809,-0.050227903,-0.025922857,0.000298271,-0.013376751,-0.020867471,0.000383491,0.007977626,-0.012536737,0.000153398,-0.001643962,-0.030077800,-0.000042610,-0.046589695
1768899957.910346,1768899957.909674168,0.188669791,-0.001196246,-0.006077482,-0.000974252,0.000255649,0.035319157,-0.352689207,0.002386169,-0.040393583,-0.638665080,0.004218405,0.012196939,0.180216759,-0.001955826,-0.023991808,-0.411346942,0.002769660,-0.032623056,-0.192552983,0.001146691,-0.006873508,0.100831955,-0.002332855,-0.034992980,-0.013789535,0.000298271,-0.011264018,-0.098631352,0.000340881,-0.009026138,0.009710210,0.000306796,0.071746491,-0.010650303,-0.000042610,-0.040997457
1768899957.920517,1768899957.919714689,0.171258826,-0.001162081,0.011265512,0.009935979,0.000191734,0.002773536,-0.353100687,0.002386169,-0.024815379,-0.635028005,0.004261015,0.023367282,0.199124038,-0.001879127,0.021043113,-0.395538867,0.002727050,-0.051945966,-0.207063892,0.001146570,-0.007701050,0.108566728,-0.002205029,0.027275671,-0.030113669,0.000340881,0.010010868,-0.016545577,0.000340881,-0.008517400,-0.054734442,0.000191748,0.004174074,0.020608973,-0.000042610,-0.030632805
1768899957.930317,1768899957.929640055,0.192616307,-0.001179172,0.006085654,-0.011461574,0.000095861,-0.036749518,-0.358983606,0.002513999,0.026064886,-0.568554342,0.004218405,0.018468015,0.185175136,-0.001917476,-0.002174275,-0.444409341,0.002769660,-0.030675793,-0.123370452,0.001129559,-0.013726741,0.105600646,-0.002300899,-0.020169697,-0.114151768,0.000340881,-0.003906761,-0.011483023,0.000383491,0.015587415,-0.005109861,0.000153398,-0.011767694,0.008691781,0.000127830,0.042039011
1768899957.940261,1768899957.939706326,0.172911141,-0.001213334,-0.015789245,-0.016387300,0.000223690,0.028223816,-0.343758374,0.002471389,0.011405990,-0.572193146,0.004133185,-0.000691898,0.190499827,-0.001917476,0.008504637,-0.403076500,0.002897491,0.033858523,-0.165328130,0.001146570,-0.011494413,0.077989006,-0.002205029,0.023969413,-0.043716341,0.000383491,0.028662363,-0.050271962,0.000340881,-0.008167311,-0.031395592,0.000076699,-0.040419824,-0.004868893,-0.000042610,-0.041974906
1768899957.949942,1768899957.949587107,0.146071588,-0.001179172,0.004381956,0.002058713,0.000095861,-0.035726995,-0.403213054,0.002556609,0.030171689,-0.646519482,0.004133185,-0.002329888,0.222180381,-0.001994175,-0.028476059,-0.449684739,0.002812270,-0.026635407,-0.158641295,0.001129439,-0.022694555,0.033084786,-0.002173073,0.039462831,-0.055106208,0.000298271,-0.018555211,-0.062255789,0.000426102,0.020589683,0.022156563,0.000153398,-0.003968864,-0.021430224,0.000042610,-0.006340301
1768899957.959896,1768899957.959555149,0.155047060,-0.001179172,0.007053239,-0.012024302,0.000095861,-0.038168197,-0.381556451,0.002513999,0.013369031,-0.662619948,0.004090575,0.000365839,0.211572528,-0.001879127,0.020708850,-0.421280146,0.002812270,-0.013026167,-0.175584057,0.001146630,-0.008746580,0.103541470,-0.002268942,0.006588306,-0.046774548,0.000298271,-0.018192504,-0.042027723,0.000340881,-0.022910213,-0.014784629,0.000076699,-0.037968550,0.021427013,0.000042610,0.001782783
1768899957.969863,1768899957.969559431,0.157558907,-0.001179164,0.001948003,-0.036712618,0.000223691,0.005180050,-0.363757133,0.002386169,-0.040615600,-0.619580388,0.004005354,-0.033966087,0.165689439,-0.001879127,0.023164546,-0.407628506,0.002812270,-0.012593267,-0.110348399,0.001129439,-0.016137115,0.075119411,-0.002173073,0.051180352,-0.030731855,0.000298271,-0.016128799,-0.063270323,0.000340881,-0.014656722,-0.025371419,0.000115049,-0.024690049,0.003625160,-0.000042610,-0.044199970
